x,y,z,block
470,64,-8,minecraft:smooth_stone
470,64,-7,minecraft:smooth_stone
470,64,-6,minecraft:smooth_stone
470,64,-5,minecraft:smooth_stone
470,64,-4,minecraft:smooth_stone
470,64,-3,minecraft:smooth_stone
470,64,-2,minecraft:smooth_stone
470,64,-1,minecraft:smooth_stone
470,64,0,minecraft:smooth_stone
470,64,1,minecraft:smooth_stone
470,64,2,minecraft:smooth_stone
470,64,3,minecraft:smooth_stone
470,64,4,minecraft:smooth_stone
470,64,5,minecraft:smooth_stone
470,64,6,minecraft:smooth_stone
470,64,7,minecraft:smooth_stone
470,64,8,minecraft:smooth_stone
470,64,9,minecraft:smooth_stone
470,64,10,minecraft:smooth_stone
470,64,11,minecraft:smooth_stone
470,64,12,minecraft:smooth_stone
470,64,13,minecraft:smooth_stone
471,64,-8,minecraft:smooth_stone
471,64,-7,minecraft:smooth_stone
471,64,-6,minecraft:smooth_stone
471,64,-5,minecraft:smooth_stone
471,64,-4,minecraft:smooth_stone
471,64,-3,minecraft:smooth_stone
471,64,-2,minecraft:smooth_stone
471,64,-1,minecraft:smooth_stone
471,64,0,minecraft:smooth_stone
471,64,1,minecraft:smooth_stone
471,64,2,minecraft:smooth_stone
471,64,3,minecraft:smooth_stone
471,64,4,minecraft:smooth_stone
471,64,5,minecraft:smooth_stone
471,64,6,minecraft:smooth_stone
471,64,7,minecraft:smooth_stone
471,64,8,minecraft:smooth_stone
471,64,9,minecraft:smooth_stone
471,64,10,minecraft:smooth_stone
471,64,11,minecraft:smooth_stone
471,64,12,minecraft:smooth_stone
471,64,13,minecraft:smooth_stone
472,64,-8,minecraft:smooth_stone
472,64,-7,minecraft:smooth_stone
472,64,-6,minecraft:smooth_stone
472,64,-5,minecraft:smooth_stone
472,64,-4,minecraft:smooth_stone
472,64,-3,minecraft:smooth_stone
472,64,-2,minecraft:smooth_stone
472,64,-1,minecraft:smooth_stone
472,64,0,minecraft:smooth_stone
472,64,1,minecraft:smooth_stone
472,64,2,minecraft:smooth_stone
472,64,3,minecraft:smooth_stone
472,64,4,minecraft:smooth_stone
472,64,5,minecraft:smooth_stone
472,64,6,minecraft:smooth_stone
472,64,7,minecraft:smooth_stone
472,64,8,minecraft:smooth_stone
472,64,9,minecraft:smooth_stone
472,64,10,minecraft:smooth_stone
472,64,11,minecraft:smooth_stone
472,64,12,minecraft:smooth_stone
472,64,13,minecraft:smooth_stone
472,87,0,minecraft:yellow_concrete
472,88,0,minecraft:yellow_concrete
473,64,-8,minecraft:smooth_stone
473,64,-7,minecraft:smooth_stone
473,64,-6,minecraft:smooth_stone
473,64,-5,minecraft:smooth_stone
473,64,-4,minecraft:smooth_stone
473,64,-3,minecraft:smooth_stone
473,64,-2,minecraft:smooth_stone
473,64,-1,minecraft:smooth_stone
473,64,0,minecraft:smooth_stone
473,64,1,minecraft:smooth_stone
473,64,2,minecraft:smooth_stone
473,64,3,minecraft:smooth_stone
473,64,4,minecraft:smooth_stone
473,64,5,minecraft:smooth_stone
473,64,6,minecraft:smooth_stone
473,64,7,minecraft:smooth_stone
473,64,8,minecraft:smooth_stone
473,64,9,minecraft:smooth_stone
473,64,10,minecraft:smooth_stone
473,64,11,minecraft:smooth_stone
473,64,12,minecraft:smooth_stone
473,64,13,minecraft:smooth_stone
473,86,0,minecraft:yellow_concrete
473,87,-1,minecraft:yellow_concrete
473,87,1,minecraft:yellow_concrete
473,88,-1,minecraft:yellow_concrete
473,88,0,minecraft:oak_planks
473,88,1,minecraft:yellow_concrete
473,89,0,minecraft:yellow_concrete
474,64,-8,minecraft:smooth_stone
474,64,-7,minecraft:smooth_stone
474,64,-6,minecraft:smooth_stone
474,64,-5,minecraft:smooth_stone
474,64,-4,minecraft:smooth_stone
474,64,-3,minecraft:smooth_stone
474,64,-2,minecraft:smooth_stone
474,64,-1,minecraft:smooth_stone
474,64,0,minecraft:smooth_stone
474,64,1,minecraft:smooth_stone
474,64,2,minecraft:smooth_stone
474,64,3,minecraft:smooth_stone
474,64,4,minecraft:smooth_stone
474,64,5,minecraft:smooth_stone
474,64,6,minecraft:smooth_stone
474,64,7,minecraft:smooth_stone
474,64,8,minecraft:smooth_stone
474,64,9,minecraft:smooth_stone
474,64,10,minecraft:smooth_stone
474,64,11,minecraft:smooth_stone
474,64,12,minecraft:smooth_stone
474,64,13,minecraft:smooth_stone
474,85,0,minecraft:yellow_concrete
474,86,-1,minecraft:yellow_concrete
474,86,1,minecraft:yellow_concrete
474,87,-2,minecraft:yellow_concrete
474,87,2,minecraft:yellow_concrete
474,88,-2,minecraft:yellow_concrete
474,88,-1,minecraft:oak_planks
474,88,0,minecraft:oak_planks
474,88,1,minecraft:oak_planks
474,88,2,minecraft:yellow_concrete
474,89,-1,minecraft:yellow_concrete
474,89,1,minecraft:yellow_concrete
474,90,0,minecraft:yellow_concrete
475,64,-8,minecraft:smooth_stone
475,64,-7,minecraft:smooth_stone
475,64,-6,minecraft:smooth_stone
475,64,-5,minecraft:smooth_stone
475,64,-4,minecraft:smooth_stone
475,64,-3,minecraft:smooth_stone
475,64,-2,minecraft:smooth_stone
475,64,-1,minecraft:smooth_stone
475,64,0,minecraft:smooth_stone
475,64,1,minecraft:smooth_stone
475,64,2,minecraft:smooth_stone
475,64,3,minecraft:smooth_stone
