x,y,z,block
270,105,0,minecraft:glass_pane
271,102,-3,minecraft:iron_block
271,102,-2,minecraft:iron_block
271,102,-1,minecraft:light_blue_stained_glass
271,102,0,minecraft:iron_block
271,102,1,minecraft:iron_block
271,102,2,minecraft:iron_block
271,102,3,minecraft:iron_block
271,103,-5,minecraft:iron_block
271,103,-4,minecraft:iron_block
271,103,-3,minecraft:iron_block
271,103,-2,minecraft:iron_block
271,103,-1,minecraft:iron_block
271,103,0,minecraft:iron_block
271,103,1,minecraft:iron_block
271,103,2,minecraft:iron_block
271,103,3,minecraft:light_gray_concrete
271,103,4,minecraft:iron_block
271,103,5,minecraft:iron_block
271,104,0,minecraft:grass_block
271,105,-7,minecraft:glass_pane
271,105,-6,minecraft:glass_pane
271,105,-5,minecraft:glass_pane
271,105,-4,minecraft:glass_pane
271,105,-3,minecraft:glass_pane
271,105,-2,minecraft:glass_pane
271,105,-1,minecraft:glass_pane
271,105,0,minecraft:glass_pane
271,105,1,minecraft:glass_pane
271,105,2,minecraft:glass_pane
271,105,3,minecraft:glass_pane
271,105,4,minecraft:glass_pane
271,105,5,minecraft:glass_pane
271,105,6,minecraft:glass_pane
271,105,7,minecraft:glass_pane
272,99,-2,minecraft:light_blue_stained_glass
272,99,-1,minecraft:light_gray_concrete
272,99,0,minecraft:light_blue_stained_glass
272,99,1,minecraft:white_concrete
272,99,2,minecraft:iron_block
272,100,-5,minecraft:iron_block
272,100,-4,minecraft:white_concrete
272,100,-3,minecraft:white_concrete
272,100,-2,minecraft:light_gray_concrete
272,100,-1,minecraft:iron_block
272,100,0,minecraft:iron_block
272,100,1,minecraft:iron_block
272,100,2,minecraft:iron_block
272,100,3,minecraft:iron_block
272,100,4,minecraft:iron_block
272,100,5,minecraft:iron_block
272,101,-6,minecraft:white_concrete
272,101,-5,minecraft:iron_block
272,101,-4,minecraft:iron_block
272,101,-3,minecraft:iron_block
272,101,-2,minecraft:iron_block
272,101,-1,minecraft:iron_block
272,101,0,minecraft:iron_block
272,101,1,minecraft:iron_block
272,101,2,minecraft:iron_block
272,101,3,minecraft:iron_block
272,101,4,minecraft:iron_block
272,101,5,minecraft:light_blue_stained_glass
272,101,6,minecraft:iron_block
272,102,-8,minecraft:iron_block
272,102,-7,minecraft:iron_block
272,102,-6,minecraft:iron_block
272,102,-5,minecraft:iron_block
272,102,-4,minecraft:iron_block
272,102,-3,minecraft:iron_block
272,102,-2,minecraft:iron_block
272,102,-1,minecraft:iron_block
272,102,0,minecraft:iron_block
272,102,1,minecraft:iron_block
272,102,2,minecraft:iron_block
272,102,3,minecraft:iron_block
272,102,4,minecraft:iron_block
272,102,5,minecraft:iron_block
272,102,6,minecraft:iron_block
272,102,7,minecraft:light_blue_stained_glass
272,102,8,minecraft:iron_block
272,103,-9,minecraft:iron_block
272,103,-8,minecraft:iron_block
272,103,-7,minecraft:light_gray_concrete
272,103,-6,minecraft:iron_block
272,103,-5,minecraft:iron_block
272,103,-4,minecraft:iron_block
272,103,-3,minecraft:iron_block
272,103,-2,minecraft:iron_block
272,103,-1,minecraft:iron_block
272,103,0,minecraft:iron_block
272,103,1,minecraft:iron_block
272,103,2,minecraft:iron_block
272,103,3,minecraft:iron_block
272,103,4,minecraft:iron_block
272,103,5,minecraft:iron_block
272,103,6,minecraft:iron_block
272,103,7,minecraft:light_gray_concrete
272,103,8,minecraft:iron_block
272,103,9,minecraft:iron_block
272,104,-7,minecraft:grass_block
272,104,-6,minecraft:grass_block
272,104,-5,minecraft:grass_block
272,104,-4,minecraft:grass_block
272,104,-3,minecraft:grass_block
272,104,-2,minecraft:smooth_stone
272,104,-1,minecraft:smooth_stone
272,104,0,minecraft:smooth_stone
272,104,1,minecraft:smooth_stone
272,104,2,minecraft:smooth_stone
272,104,3,minecraft:grass_block
272,104,4,minecraft:grass_block
272,104,5,minecraft:grass_block
272,104,6,minecraft:grass_block
272,104,7,minecraft:grass_block
272,105,-10,minecraft:glass_pane
272,105,-9,minecraft:glass_pane
272,105,-8,minecraft:glass_pane
272,105,8,minecraft:glass_pane
272,105,9,minecraft:glass_pane
272,105,10,minecraft:glass_pane
272,109,-5,minecraft:birch_leaves
272,109,-4,minecraft:birch_leaves
272,109,-3,minecraft:birch_leaves
272,110,-5,minecraft:birch_leaves
272,110,-4,minecraft:birch_leaves
272,110,-3,minecraft:birch_leaves
272,111,-5,minecraft:birch_leaves
272,111,-4,minecraft:birch_leaves
272,111,-3,minecraft:birch_leaves
273,97,-4,minecraft:light_blue_stained_glass
273,97,-3,minecraft:iron_block
273,97,-2,minecraft:iron_block
273,97,-1,minecraft:iron_block
273,97,0,minecraft:white_concrete
273,97,1,minecraft:iron_block
273,97,2,minecraft:iron_block
273,97,3,minecraft:iron_block
273,97,4,minecraft:iron_block
273,98,-6,minecraft:iron_block
273,98,-5,minecraft:iron_block
273,98,-4,minecraft:iron_block
273,98,-3,minecraft:iron_block
273,98,-2,minecraft:iron_block
273,98,-1,minecraft:iron_block
273,98,0,minecraft:iron_block
273,98,1,minecraft:iron_block
273,98,2,minecraft:light_blue_stained_glass
273,98,3,minecraft:iron_block
273,98,4,minecraft:iron_block
273,98,5,minecraft:iron_block
273,98,6,minecraft:iron_block
273,99,-7,minecraft:iron_block
273,99,-6,minecraft:iron_block
273,99,-5,minecraft:light_blue_stained_glass
273,99,-4,minecraft:iron_block
273,99,-3,minecraft:iron_block
273,99,-2,minecraft:iron_block
273,99,-1,minecraft:iron_block
273,99,0,minecraft:iron_block
273,99,1,minecraft:iron_block
273,99,2,minecraft:iron_block
273,99,3,minecraft:light_gray_concrete
273,99,4,minecraft:iron_block
273,99,5,minecraft:iron_block
273,99,6,minecraft:iron_block
273,99,7,minecraft:white_concrete
273,100,-8,minecraft:iron_block
273,100,-7,minecraft:iron_block
273,100,-6,minecraft:iron_block
273,100,-5,minecraft:iron_block
273,100,-4,minecraft:iron_block
273,100,-3,minecraft:iron_block
273,100,-2,minecraft:iron_block
273,100,-1,minecraft:iron_block
273,100,0,minecraft:iron_block
273,100,1,minecraft:iron_block
273,100,2,minecraft:iron_block
273,100,3,minecraft:iron_block
273,100,4,minecraft:iron_block
273,100,5,minecraft:iron_block
273,100,6,minecraft:iron_block
273,100,7,minecraft:iron_block
273,100,8,minecraft:iron_block
273,101,-10,minecraft:iron_block
273,101,-9,minecraft:iron_block
273,101,-8,minecraft:iron_block
273,101,-7,minecraft:iron_block
273,101,-6,minecraft:iron_block
273,101,-5,minecraft:iron_block
273,101,-4,minecraft:iron_block
273,101,-3,minecraft:iron_block
273,101,-2,minecraft:iron_block
273,101,-1,minecraft:iron_block
273,101,0,minecraft:iron_block
273,101,1,minecraft:iron_block
273,101,2,minecraft:iron_block
273,101,3,minecraft:iron_block
273,101,4,minecraft:iron_block
273,101,5,minecraft:iron_block
273,101,6,minecraft:iron_block
273,101,7,minecraft:iron_block
273,101,8,minecraft:iron_block
273,101,9,minecraft:iron_block
273,101,10,minecraft:iron_block
273,102,-11,minecraft:iron_block
273,102,-10,minecraft:white_concrete
273,102,-9,minecraft:light_gray_concrete
273,102,-8,minecraft:iron_block
273,102,-7,minecraft:iron_block
273,102,-6,minecraft:iron_block
273,102,-5,minecraft:iron_block
273,102,-4,minecraft:iron_block
273,102,4,minecraft:iron_block
273,102,5,minecraft:iron_block
273,102,6,minecraft:iron_block
273,102,7,minecraft:iron_block
273,102,8,minecraft:iron_block
273,102,9,minecraft:iron_block
273,102,10,minecraft:iron_block
273,102,11,minecraft:light_gray_concrete
273,103,-12,minecraft:iron_block
273,103,-11,minecraft:iron_block
273,103,-10,minecraft:iron_block
273,103,-9,minecraft:iron_block
273,103,-8,minecraft:iron_block
273,103,-7,minecraft:iron_block
273,103,-6,minecraft:iron_block
273,103,6,minecraft:iron_block
273,103,7,minecraft:iron_block
273,103,8,minecraft:iron_block
273,103,9,minecraft:iron_block
273,103,10,minecraft:iron_block
273,103,11,minecraft:iron_block
273,103,12,minecraft:iron_block
273,104,-10,minecraft:grass_block
273,104,-9,minecraft:grass_block
273,104,-8,minecraft:grass_block
273,104,-7,minecraft:grass_block
273,104,-6,minecraft:grass_block
273,104,-5,minecraft:grass_block
273,104,-4,minecraft:grass_block
273,104,-3,minecraft:grass_block
273,104,-2,minecraft:smooth_stone
273,104,-1,minecraft:smooth_stone
273,104,0,minecraft:smooth_stone
273,104,1,minecraft:smooth_stone
273,104,2,minecraft:smooth_stone
273,104,3,minecraft:grass_block
273,104,4,minecraft:grass_block
273,104,5,minecraft:grass_block
273,104,6,minecraft:grass_block
273,104,7,minecraft:grass_block
273,104,8,minecraft:grass_block
273,104,9,minecraft:grass_block
273,104,10,minecraft:grass_block
273,105,-13,minecraft:glass_pane
273,105,-12,minecraft:glass_pane
273,105,-11,minecraft:glass_pane
273,105,11,minecraft:glass_pane
273,105,12,minecraft:glass_pane
273,105,13,minecraft:glass_pane
273,109,-6,minecraft:birch_leaves
273,109,-5,minecraft:birch_leaves
273,109,-4,minecraft:birch_leaves
273,109,-3,minecraft:birch_leaves
273,109,-2,minecraft:birch_leaves
273,110,-6,minecraft:birch_leaves
273,110,-5,minecraft:birch_leaves
273,110,-4,minecraft:birch_leaves
273,110,-3,minecraft:birch_leaves
273,110,-2,minecraft:birch_leaves
273,111,-6,minecraft:birch_leaves
273,111,-5,minecraft:birch_leaves
273,111,-4,minecraft:birch_leaves
273,111,-3,minecraft:birch_leaves
273,111,-2,minecraft:birch_leaves
274,94,-4,minecraft:iron_block
274,94,-3,minecraft:iron_block
274,94,-2,minecraft:iron_block
274,94,-1,minecraft:light_blue_stained_glass
274,94,0,minecraft:iron_block
274,94,1,minecraft:iron_block
274,94,2,minecraft:iron_block
274,94,3,minecraft:light_blue_stained_glass
274,94,4,minecraft:iron_block
274,95,-5,minecraft:iron_block
274,95,-4,minecraft:iron_block
274,95,-3,minecraft:light_gray_concrete
274,95,-2,minecraft:iron_block
274,95,-1,minecraft:light_gray_concrete
274,95,0,minecraft:light_blue_stained_glass
274,95,1,minecraft:iron_block
274,95,2,minecraft:iron_block
274,95,3,minecraft:iron_block
274,95,4,minecraft:iron_block
274,95,5,minecraft:iron_block
274,96,-7,minecraft:light_gray_concrete
274,96,-6,minecraft:iron_block
274,96,-5,minecraft:iron_block
274,96,-4,minecraft:iron_block
274,96,-3,minecraft:iron_block
274,96,-2,minecraft:iron_block
274,96,-1,minecraft:iron_block
274,96,0,minecraft:iron_block
274,96,1,minecraft:iron_block
274,96,2,minecraft:iron_block
274,96,3,minecraft:light_gray_concrete
274,96,4,minecraft:iron_block
274,96,5,minecraft:light_gray_concrete
274,96,6,minecraft:iron_block
274,96,7,minecraft:iron_block
274,97,-8,minecraft:iron_block
274,97,-7,minecraft:iron_block
274,97,-6,minecraft:iron_block
274,97,-5,minecraft:iron_block
274,97,-4,minecraft:iron_block
274,97,-3,minecraft:iron_block
274,97,-2,minecraft:iron_block
274,97,-1,minecraft:iron_block
274,97,0,minecraft:iron_block
274,97,1,minecraft:iron_block
274,97,2,minecraft:iron_block
274,97,3,minecraft:iron_block
274,97,4,minecraft:iron_block
274,97,5,minecraft:iron_block
274,97,6,minecraft:iron_block
274,97,7,minecraft:iron_block
274,97,8,minecraft:iron_block
274,98,-9,minecraft:iron_block
274,98,-8,minecraft:iron_block
274,98,-7,minecraft:iron_block
274,98,-6,minecraft:iron_block
274,98,-5,minecraft:iron_block
274,98,-4,minecraft:iron_block
274,98,-3,minecraft:iron_block
274,98,-2,minecraft:iron_block
274,98,-1,minecraft:iron_block
274,98,0,minecraft:iron_block
274,98,1,minecraft:iron_block
274,98,2,minecraft:iron_block
274,98,3,minecraft:iron_block
274,98,4,minecraft:iron_block
274,98,5,minecraft:iron_block
274,98,6,minecraft:iron_block
274,98,7,minecraft:iron_block
274,98,8,minecraft:iron_block
274,98,9,minecraft:iron_block
274,99,-10,minecraft:iron_block
274,99,-9,minecraft:iron_block
274,99,-8,minecraft:iron_block
274,99,-7,minecraft:iron_block
274,99,-6,minecraft:iron_block
274,99,-5,minecraft:iron_block
274,99,-4,minecraft:iron_block
274,99,-3,minecraft:iron_block
274,99,-2,minecraft:iron_block
274,99,2,minecraft:iron_block
274,99,3,minecraft:iron_block
274,99,4,minecraft:iron_block
274,99,5,minecraft:iron_block
274,99,6,minecraft:iron_block
274,99,7,minecraft:iron_block
274,99,8,minecraft:iron_block
274,99,9,minecraft:iron_block
274,99,10,minecraft:white_concrete
274,100,-11,minecraft:iron_block
274,100,-10,minecraft:iron_block
274,100,-9,minecraft:iron_block
274,100,-8,minecraft:iron_block
274,100,-7,minecraft:iron_block
274,100,-6,minecraft:iron_block
274,100,-5,minecraft:iron_block
274,100,-4,minecraft:smooth_stone
274,100,-3,minecraft:smooth_stone
274,100,-2,minecraft:smooth_stone
274,100,-1,minecraft:smooth_stone
274,100,0,minecraft:smooth_stone
274,100,1,minecraft:smooth_stone
274,100,2,minecraft:smooth_stone
274,100,3,minecraft:smooth_stone
274,100,4,minecraft:smooth_stone
274,100,5,minecraft:iron_block
274,100,6,minecraft:iron_block
274,100,7,minecraft:iron_block
274,100,8,minecraft:iron_block
274,100,9,minecraft:iron_block
274,100,10,minecraft:iron_block
274,100,11,minecraft:iron_block
274,101,-12,minecraft:iron_block
274,101,-11,minecraft:iron_block
274,101,-10,minecraft:white_concrete
274,101,-9,minecraft:iron_block
274,101,-8,minecraft:iron_block
274,101,-7,minecraft:iron_block
274,101,7,minecraft:iron_block
274,101,8,minecraft:iron_block
274,101,9,minecraft:iron_block
274,101,10,minecraft:iron_block
274,101,11,minecraft:iron_block
274,101,12,minecraft:iron_block
274,102,-13,minecraft:iron_block
