x,y,z,block
300,79,-12,minecraft:light_gray_concrete
300,79,11,minecraft:light_gray_concrete
300,80,-12,minecraft:light_gray_concrete
300,80,11,minecraft:light_gray_concrete
300,81,-17,minecraft:light_gray_concrete
300,81,-16,minecraft:light_gray_concrete
300,81,-15,minecraft:light_gray_concrete
300,81,-14,minecraft:red_concrete
300,81,-13,minecraft:red_concrete
300,81,-12,minecraft:red_concrete
300,81,-11,minecraft:gray_concrete
300,81,-10,minecraft:gray_concrete
300,81,-9,minecraft:gray_concrete
300,81,-8,minecraft:gray_concrete
300,81,-7,minecraft:gray_concrete
300,81,-6,minecraft:gray_concrete
300,81,-5,minecraft:gray_concrete
300,81,-4,minecraft:iron_bars
300,81,-3,minecraft:iron_bars
300,81,-2,minecraft:gray_concrete
300,81,-1,minecraft:light_gray_concrete
300,81,0,minecraft:light_gray_concrete
300,81,1,minecraft:gray_concrete
300,81,2,minecraft:gray_concrete
300,81,3,minecraft:iron_bars
300,81,4,minecraft:iron_bars
300,81,5,minecraft:gray_concrete
300,81,6,minecraft:gray_concrete
300,81,7,minecraft:gray_concrete
300,81,8,minecraft:gray_concrete
300,81,9,minecraft:gray_concrete
300,81,10,minecraft:gray_concrete
300,81,11,minecraft:red_concrete
300,81,12,minecraft:red_concrete
300,81,13,minecraft:red_concrete
300,81,14,minecraft:light_gray_concrete
300,81,15,minecraft:light_gray_concrete
300,81,16,minecraft:light_gray_concrete
300,82,-17,minecraft:iron_bars
300,82,16,minecraft:iron_bars
301,79,-12,minecraft:light_gray_concrete
301,79,11,minecraft:light_gray_concrete
301,80,-12,minecraft:light_gray_concrete
301,80,11,minecraft:light_gray_concrete
301,81,-17,minecraft:light_gray_concrete
301,81,-16,minecraft:light_gray_concrete
301,81,-15,minecraft:light_gray_concrete
301,81,-14,minecraft:red_concrete
301,81,-13,minecraft:red_concrete
301,81,-12,minecraft:red_concrete
301,81,-11,minecraft:gray_concrete
301,81,-10,minecraft:gray_concrete
301,81,-9,minecraft:gray_concrete
301,81,-8,minecraft:gray_concrete
301,81,-7,minecraft:gray_concrete
301,81,-6,minecraft:gray_concrete
301,81,-5,minecraft:gray_concrete
301,81,-4,minecraft:iron_bars
301,81,-3,minecraft:iron_bars
301,81,-2,minecraft:gray_concrete
301,81,-1,minecraft:light_gray_concrete
301,81,0,minecraft:light_gray_concrete
301,81,1,minecraft:gray_concrete
301,81,2,minecraft:gray_concrete
301,81,3,minecraft:iron_bars
301,81,4,minecraft:iron_bars
301,81,5,minecraft:gray_concrete
301,81,6,minecraft:gray_concrete
301,81,7,minecraft:gray_concrete
301,81,8,minecraft:gray_concrete
301,81,9,minecraft:gray_concrete
301,81,10,minecraft:gray_concrete
301,81,11,minecraft:red_concrete
301,81,12,minecraft:red_concrete
301,81,13,minecraft:red_concrete
301,81,14,minecraft:light_gray_concrete
301,81,15,minecraft:light_gray_concrete
301,81,16,minecraft:light_gray_concrete
301,82,-17,minecraft:iron_bars
301,82,16,minecraft:iron_bars
302,79,-12,minecraft:light_gray_concrete
302,79,11,minecraft:light_gray_concrete
302,80,-12,minecraft:light_gray_concrete
302,80,11,minecraft:light_gray_concrete
302,81,-17,minecraft:light_gray_concrete
302,81,-16,minecraft:light_gray_concrete
302,81,-15,minecraft:light_gray_concrete
302,81,-14,minecraft:red_concrete
302,81,-13,minecraft:red_concrete
302,81,-12,minecraft:red_concrete
302,81,-11,minecraft:gray_concrete
302,81,-10,minecraft:gray_concrete
302,81,-9,minecraft:gray_concrete
302,81,-8,minecraft:gray_concrete
302,81,-7,minecraft:gray_concrete
302,81,-6,minecraft:gray_concrete
302,81,-5,minecraft:gray_concrete
302,81,-4,minecraft:iron_bars
302,81,-3,minecraft:iron_bars
302,81,-2,minecraft:gray_concrete
302,81,-1,minecraft:light_gray_concrete
302,81,0,minecraft:light_gray_concrete
302,81,1,minecraft:gray_concrete
302,81,2,minecraft:gray_concrete
302,81,3,minecraft:iron_bars
302,81,4,minecraft:iron_bars
302,81,5,minecraft:gray_concrete
302,81,6,minecraft:gray_concrete
302,81,7,minecraft:gray_concrete
302,81,8,minecraft:gray_concrete
302,81,9,minecraft:gray_concrete
302,81,10,minecraft:gray_concrete
302,81,11,minecraft:red_concrete
302,81,12,minecraft:red_concrete
302,81,13,minecraft:red_concrete
302,81,14,minecraft:light_gray_concrete
302,81,15,minecraft:light_gray_concrete
302,81,16,minecraft:light_gray_concrete
302,82,-17,minecraft:iron_bars
302,82,16,minecraft:iron_bars
303,79,-12,minecraft:light_gray_concrete
303,79,11,minecraft:light_gray_concrete
303,80,-12,minecraft:light_gray_concrete
303,80,11,minecraft:light_gray_concrete
303,81,-17,minecraft:light_gray_concrete
303,81,-16,minecraft:light_gray_concrete
303,81,-15,minecraft:light_gray_concrete
303,81,-14,minecraft:red_concrete
303,81,-13,minecraft:red_concrete
303,81,-12,minecraft:red_concrete
303,81,-11,minecraft:gray_concrete
303,81,-10,minecraft:gray_concrete
303,81,-9,minecraft:gray_concrete
303,81,-8,minecraft:gray_concrete
303,81,-7,minecraft:gray_concrete
303,81,-6,minecraft:gray_concrete
303,81,-5,minecraft:gray_concrete
303,81,-4,minecraft:iron_bars
303,81,-3,minecraft:iron_bars
303,81,-2,minecraft:gray_concrete
303,81,-1,minecraft:light_gray_concrete
303,81,0,minecraft:light_gray_concrete
303,81,1,minecraft:gray_concrete
303,81,2,minecraft:gray_concrete
303,81,3,minecraft:iron_bars
303,81,4,minecraft:iron_bars
303,81,5,minecraft:gray_concrete
303,81,6,minecraft:gray_concrete
303,81,7,minecraft:gray_concrete
303,81,8,minecraft:gray_concrete
303,81,9,minecraft:gray_concrete
303,81,10,minecraft:gray_concrete
303,81,11,minecraft:red_concrete
303,81,12,minecraft:red_concrete
303,81,13,minecraft:red_concrete
303,81,14,minecraft:light_gray_concrete
303,81,15,minecraft:light_gray_concrete
303,81,16,minecraft:light_gray_concrete
303,82,-17,minecraft:iron_bars
303,82,16,minecraft:iron_bars
304,79,-12,minecraft:light_gray_concrete
304,79,11,minecraft:light_gray_concrete
304,80,-12,minecraft:light_gray_concrete
304,80,11,minecraft:light_gray_concrete
304,81,-17,minecraft:light_gray_concrete
304,81,-16,minecraft:light_gray_concrete
304,81,-15,minecraft:light_gray_concrete
