x,y,z,block
-19,161,-8,minecraft:gray_concrete
-19,161,-7,minecraft:gray_concrete
-19,161,-6,minecraft:gray_concrete
-19,161,-5,minecraft:gray_concrete
-19,161,-4,minecraft:gray_concrete
-19,161,-3,minecraft:gray_concrete
-19,161,-2,minecraft:gray_concrete
-19,162,-8,minecraft:gray_concrete
-19,162,-7,minecraft:gray_concrete
-19,162,-6,minecraft:gray_concrete
-19,162,-5,minecraft:gray_concrete
-19,162,-4,minecraft:gray_concrete
-19,162,-3,minecraft:gray_concrete
-19,162,-2,minecraft:gray_concrete
-19,163,-8,minecraft:glass_pane
-19,163,-7,minecraft:glass_pane
-19,163,-6,minecraft:glass_pane
-19,163,-5,minecraft:glass_pane
-19,163,-4,minecraft:glass_pane
-19,163,-3,minecraft:glass_pane
-19,163,-2,minecraft:glass_pane
-19,164,-8,minecraft:glass_pane
-19,164,-7,minecraft:glass_pane
-19,164,-6,minecraft:glass_pane
-19,164,-5,minecraft:glass_pane
-19,164,-4,minecraft:glass_pane
-19,164,-3,minecraft:glass_pane
-19,164,-2,minecraft:glass_pane
-19,165,-8,minecraft:glass_pane
-19,165,-7,minecraft:glass_pane
-19,165,-6,minecraft:glass_pane
-19,165,-5,minecraft:glass_pane
-19,165,-4,minecraft:glass_pane
-19,165,-3,minecraft:glass_pane
-19,165,-2,minecraft:glass_pane
-19,166,-8,minecraft:gray_concrete
-19,166,-7,minecraft:gray_concrete
-19,166,-6,minecraft:gray_concrete
-19,166,-5,minecraft:gray_concrete
-19,166,-4,minecraft:gray_concrete
-19,166,-3,minecraft:gray_concrete
-19,166,-2,minecraft:gray_concrete
-19,167,-8,minecraft:gray_concrete
-19,167,-7,minecraft:gray_concrete
-19,167,-6,minecraft:gray_concrete
-19,167,-5,minecraft:gray_concrete
-19,167,-4,minecraft:gray_concrete
-19,167,-3,minecraft:gray_concrete
-19,167,-2,minecraft:gray_concrete
-18,161,-11,minecraft:gray_concrete
-18,161,-10,minecraft:gray_concrete
-18,161,-9,minecraft:gray_concrete
-18,161,-8,minecraft:deepslate
-18,161,-7,minecraft:deepslate
-18,161,-6,minecraft:deepslate
-18,161,-5,minecraft:deepslate
-18,161,-4,minecraft:deepslate
-18,161,-3,minecraft:deepslate
-18,161,-2,minecraft:deepslate
-18,161,-1,minecraft:gray_concrete
-18,161,0,minecraft:gray_concrete
-18,161,1,minecraft:gray_concrete
-18,162,-11,minecraft:gray_concrete
-18,162,-10,minecraft:gray_concrete
-18,162,-9,minecraft:gray_concrete
-18,162,-1,minecraft:gray_concrete
-18,162,0,minecraft:gray_concrete
-18,162,1,minecraft:gray_concrete
-18,163,-11,minecraft:glass_pane
-18,163,-10,minecraft:glass_pane
-18,163,-9,minecraft:glass_pane
-18,163,-8,minecraft:gray_concrete
-18,163,-7,minecraft:gray_concrete
-18,163,-6,minecraft:gray_concrete
-18,163,-5,minecraft:gray_concrete
-18,163,-4,minecraft:gray_concrete
-18,163,-3,minecraft:gray_concrete
-18,163,-2,minecraft:gray_concrete
-18,163,-1,minecraft:glass_pane
-18,163,0,minecraft:glass_pane
-18,163,1,minecraft:glass_pane
-18,164,-11,minecraft:glass_pane
-18,164,-10,minecraft:glass_pane
-18,164,-9,minecraft:glass_pane
-18,164,-1,minecraft:glass_pane
-18,164,0,minecraft:glass_pane
-18,164,1,minecraft:glass_pane
-18,165,-11,minecraft:glass_pane
-18,165,-10,minecraft:glass_pane
-18,165,-9,minecraft:glass_pane
-18,165,-1,minecraft:glass_pane
-18,165,0,minecraft:glass_pane
-18,165,1,minecraft:glass_pane
-18,166,-11,minecraft:gray_concrete
-18,166,-10,minecraft:gray_concrete
-18,166,-9,minecraft:gray_concrete
-18,166,-1,minecraft:gray_concrete
-18,166,0,minecraft:gray_concrete
-18,166,1,minecraft:gray_concrete
-18,167,-11,minecraft:gray_concrete
-18,167,-10,minecraft:gray_concrete
-18,167,-9,minecraft:gray_concrete
-18,167,-8,minecraft:gray_concrete
-18,167,-7,minecraft:gray_concrete
-18,167,-6,minecraft:gray_concrete
-18,167,-5,minecraft:gray_concrete
-18,167,-4,minecraft:gray_concrete
-18,167,-3,minecraft:gray_concrete
-18,167,-2,minecraft:gray_concrete
-18,167,-1,minecraft:gray_concrete
-18,167,0,minecraft:gray_concrete
-18,167,1,minecraft:gray_concrete
-17,161,-13,minecraft:gray_concrete
-17,161,-12,minecraft:gray_concrete
-17,161,-11,minecraft:deepslate
-17,161,-10,minecraft:deepslate
-17,161,-9,minecraft:deepslate
-17,161,-8,minecraft:deepslate
-17,161,-7,minecraft:deepslate
-17,161,-6,minecraft:deepslate
-17,161,-5,minecraft:deepslate
-17,161,-4,minecraft:deepslate
-17,161,-3,minecraft:deepslate
-17,161,-2,minecraft:deepslate
-17,161,-1,minecraft:deepslate
-17,161,0,minecraft:deepslate
-17,161,1,minecraft:deepslate
-17,161,2,minecraft:gray_concrete
-17,161,3,minecraft:gray_concrete
-17,162,-13,minecraft:gray_concrete
-17,162,-12,minecraft:gray_concrete
-17,162,2,minecraft:gray_concrete
-17,162,3,minecraft:gray_concrete
-17,163,-13,minecraft:glass_pane
-17,163,-12,minecraft:glass_pane
-17,163,-11,minecraft:gray_concrete
-17,163,-10,minecraft:gray_concrete
-17,163,-9,minecraft:gray_concrete
-17,163,-8,minecraft:gray_concrete
-17,163,-7,minecraft:gray_concrete
-17,163,-6,minecraft:gray_concrete
-17,163,-5,minecraft:gray_concrete
-17,163,-4,minecraft:gray_concrete
-17,163,-3,minecraft:gray_concrete
-17,163,-2,minecraft:gray_concrete
-17,163,-1,minecraft:gray_concrete
-17,163,0,minecraft:gray_concrete
-17,163,1,minecraft:gray_concrete
-17,163,2,minecraft:glass_pane
-17,163,3,minecraft:glass_pane
-17,164,-13,minecraft:glass_pane
-17,164,-12,minecraft:glass_pane
-17,164,2,minecraft:glass_pane
-17,164,3,minecraft:glass_pane
-17,165,-13,minecraft:glass_pane
-17,165,-12,minecraft:glass_pane
-17,165,2,minecraft:glass_pane
-17,165,3,minecraft:glass_pane
-17,166,-13,minecraft:gray_concrete
-17,166,-12,minecraft:gray_concrete
-17,166,2,minecraft:gray_concrete
-17,166,3,minecraft:gray_concrete
-17,167,-13,minecraft:gray_concrete
-17,167,-12,minecraft:gray_concrete
-17,167,-11,minecraft:gray_concrete
-17,167,-10,minecraft:gray_concrete
-17,167,-9,minecraft:gray_concrete
-17,167,-8,minecraft:gray_concrete
-17,167,-7,minecraft:gray_concrete
-17,167,-6,minecraft:gray_concrete
-17,167,-5,minecraft:gray_concrete
-17,167,-4,minecraft:gray_concrete
-17,167,-3,minecraft:gray_concrete
-17,167,-2,minecraft:gray_concrete
-17,167,-1,minecraft:gray_concrete
-17,167,0,minecraft:gray_concrete
