x,y,z,block
225,64,35,minecraft:stone
225,64,36,minecraft:stone
225,64,37,minecraft:stone
225,64,38,minecraft:stone
225,64,39,minecraft:stone
225,64,40,minecraft:stone
225,64,41,minecraft:stone
225,64,42,minecraft:stone
225,64,43,minecraft:stone
225,64,44,minecraft:stone
225,64,45,minecraft:stone
225,64,46,minecraft:stone
225,64,47,minecraft:stone
225,64,48,minecraft:stone
225,64,49,minecraft:stone
225,64,50,minecraft:stone
225,64,51,minecraft:stone
225,64,52,minecraft:stone
225,64,53,minecraft:stone
225,64,54,minecraft:stone
225,64,55,minecraft:stone
225,64,56,minecraft:stone
225,64,57,minecraft:stone
225,64,58,minecraft:stone
225,64,59,minecraft:stone
225,64,60,minecraft:stone
225,64,61,minecraft:stone
225,64,62,minecraft:stone
225,64,63,minecraft:stone
225,64,64,minecraft:stone
225,64,65,minecraft:stone
225,64,66,minecraft:stone
225,64,67,minecraft:stone
225,64,68,minecraft:stone
225,64,69,minecraft:stone
225,64,70,minecraft:stone
225,64,71,minecraft:stone
225,64,72,minecraft:stone
225,64,73,minecraft:stone
225,64,74,minecraft:stone
225,64,75,minecraft:stone
225,64,76,minecraft:stone
225,64,77,minecraft:stone
225,64,78,minecraft:stone
225,64,79,minecraft:stone
225,64,80,minecraft:stone
225,64,81,minecraft:stone
225,64,82,minecraft:stone
225,64,83,minecraft:stone
225,64,84,minecraft:stone
225,64,85,minecraft:stone
225,64,86,minecraft:stone
225,64,87,minecraft:stone
225,64,88,minecraft:stone
225,64,89,minecraft:stone
225,64,90,minecraft:stone
225,64,91,minecraft:stone
225,64,92,minecraft:stone
225,64,93,minecraft:stone
225,64,94,minecraft:stone
225,64,95,minecraft:stone
225,64,96,minecraft:stone
225,64,97,minecraft:stone
225,64,98,minecraft:stone
225,64,99,minecraft:stone
225,64,100,minecraft:stone
225,64,101,minecraft:stone
225,64,102,minecraft:stone
225,64,103,minecraft:stone
225,64,104,minecraft:stone
225,64,105,minecraft:stone
225,64,106,minecraft:stone
225,64,107,minecraft:stone
225,64,108,minecraft:stone
225,64,109,minecraft:stone
225,64,110,minecraft:stone
225,64,111,minecraft:stone
225,64,112,minecraft:stone
225,64,113,minecraft:stone
225,64,114,minecraft:stone
225,64,115,minecraft:stone
225,64,116,minecraft:stone
225,64,117,minecraft:stone
225,64,118,minecraft:stone
225,64,119,minecraft:stone
225,64,120,minecraft:stone
225,64,121,minecraft:stone
225,64,122,minecraft:stone
225,64,123,minecraft:stone
225,64,124,minecraft:stone
225,64,125,minecraft:stone
225,64,126,minecraft:stone
225,64,127,minecraft:stone
225,64,128,minecraft:stone
225,64,129,minecraft:stone
225,64,130,minecraft:stone
225,64,131,minecraft:stone
225,64,132,minecraft:stone
225,64,133,minecraft:stone
225,64,134,minecraft:stone
225,64,135,minecraft:stone
225,64,136,minecraft:stone
225,64,137,minecraft:stone
225,64,138,minecraft:stone
225,64,139,minecraft:stone
225,64,140,minecraft:stone
225,64,141,minecraft:stone
225,64,142,minecraft:stone
225,64,143,minecraft:stone
225,64,144,minecraft:stone
225,64,145,minecraft:stone
225,64,146,minecraft:stone
225,64,147,minecraft:stone
225,64,148,minecraft:stone
225,64,149,minecraft:stone
225,64,150,minecraft:stone
225,64,151,minecraft:stone
225,64,152,minecraft:stone
225,64,153,minecraft:stone
225,64,154,minecraft:stone
225,64,155,minecraft:stone
225,64,156,minecraft:stone
225,64,157,minecraft:stone
225,64,158,minecraft:stone
225,64,159,minecraft:stone
225,64,160,minecraft:stone
225,64,161,minecraft:stone
225,64,162,minecraft:stone
225,64,163,minecraft:stone
225,64,164,minecraft:stone
225,64,165,minecraft:stone
225,64,166,minecraft:stone
225,64,167,minecraft:stone
225,64,168,minecraft:stone
225,64,169,minecraft:stone
225,64,170,minecraft:stone
225,64,171,minecraft:stone
225,64,172,minecraft:stone
225,64,173,minecraft:stone
225,64,174,minecraft:stone
225,64,175,minecraft:stone
225,64,176,minecraft:stone
225,64,177,minecraft:stone
225,64,178,minecraft:stone
225,64,179,minecraft:stone
225,64,180,minecraft:stone
225,64,181,minecraft:stone
225,64,182,minecraft:stone
225,64,183,minecraft:stone
225,64,184,minecraft:stone
225,64,185,minecraft:stone
225,64,186,minecraft:stone
225,64,187,minecraft:stone
225,64,188,minecraft:stone
225,64,189,minecraft:stone
225,64,190,minecraft:stone
225,64,191,minecraft:stone
225,64,192,minecraft:stone
225,64,193,minecraft:stone
225,64,194,minecraft:stone
225,64,195,minecraft:stone
225,64,196,minecraft:stone
225,64,197,minecraft:stone
225,64,198,minecraft:stone
225,64,199,minecraft:stone
225,64,200,minecraft:stone
225,64,201,minecraft:stone
225,64,202,minecraft:stone
225,64,203,minecraft:stone
225,64,204,minecraft:stone
225,64,205,minecraft:stone
225,64,206,minecraft:stone
225,64,207,minecraft:stone
225,64,208,minecraft:stone
225,64,209,minecraft:stone
225,64,210,minecraft:stone
225,64,211,minecraft:stone
225,64,212,minecraft:stone
225,64,213,minecraft:stone
225,64,214,minecraft:stone
225,64,215,minecraft:stone
225,64,216,minecraft:stone
225,64,217,minecraft:stone
225,64,218,minecraft:stone
225,64,219,minecraft:stone
225,64,220,minecraft:stone
225,64,221,minecraft:stone
225,64,222,minecraft:stone
225,64,223,minecraft:stone
225,64,224,minecraft:stone
225,64,225,minecraft:stone
225,64,226,minecraft:stone
225,64,227,minecraft:stone
225,64,228,minecraft:stone
225,64,229,minecraft:stone
225,64,230,minecraft:stone
225,64,231,minecraft:stone
225,64,232,minecraft:stone
225,64,233,minecraft:stone
225,64,234,minecraft:stone
225,64,235,minecraft:stone
225,64,236,minecraft:stone
225,64,237,minecraft:stone
225,64,238,minecraft:stone
225,64,239,minecraft:stone
225,64,240,minecraft:stone
225,64,241,minecraft:stone
225,64,242,minecraft:stone
225,64,243,minecraft:stone
225,64,244,minecraft:stone
225,64,245,minecraft:stone
225,64,246,minecraft:stone
225,64,247,minecraft:stone
225,64,248,minecraft:stone
225,64,249,minecraft:stone
225,64,250,minecraft:stone
225,64,251,minecraft:stone
225,64,252,minecraft:stone
