x,y,z,block
295,63,-20,minecraft:water
295,63,-19,minecraft:water
295,63,-18,minecraft:water
295,63,-17,minecraft:water
295,63,-16,minecraft:water
295,63,-15,minecraft:water
295,63,-14,minecraft:water
295,63,-13,minecraft:water
295,64,-16,minecraft:glass_pane
295,64,-15,minecraft:glass_pane
295,64,-14,minecraft:glass_pane
295,64,-13,minecraft:glass_pane
295,64,-12,minecraft:glass_pane
295,64,-11,minecraft:glass_pane
295,64,-10,minecraft:glass_pane
295,64,-9,minecraft:glass_pane
295,64,-8,minecraft:glass_pane
295,64,-7,minecraft:glass_pane
295,64,-6,minecraft:glass_pane
295,64,-5,minecraft:glass_pane
295,64,-4,minecraft:glass_pane
295,65,-16,minecraft:glass_pane
295,65,-15,minecraft:glass_pane
295,65,-14,minecraft:glass_pane
295,65,-13,minecraft:glass_pane
295,65,-12,minecraft:glass_pane
295,65,-11,minecraft:glass_pane
295,65,-10,minecraft:glass_pane
295,65,-9,minecraft:glass_pane
295,65,-8,minecraft:glass_pane
295,65,-7,minecraft:glass_pane
295,65,-6,minecraft:glass_pane
295,65,-5,minecraft:glass_pane
295,65,-4,minecraft:glass_pane
295,66,-16,minecraft:glass_pane
295,66,-15,minecraft:glass_pane
295,66,-14,minecraft:glass_pane
295,66,-13,minecraft:glass_pane
295,66,-12,minecraft:glass_pane
295,66,-11,minecraft:glass_pane
295,66,-10,minecraft:glass_pane
295,66,-9,minecraft:glass_pane
295,66,-8,minecraft:glass_pane
295,66,-7,minecraft:glass_pane
295,66,-6,minecraft:glass_pane
295,66,-5,minecraft:glass_pane
295,66,-4,minecraft:glass_pane
295,67,-16,minecraft:glass_pane
295,67,-15,minecraft:glass_pane
295,67,-14,minecraft:glass_pane
295,67,-13,minecraft:glass_pane
295,67,-12,minecraft:glass_pane
295,67,-11,minecraft:glass_pane
295,67,-10,minecraft:glass_pane
295,67,-9,minecraft:glass_pane
295,67,-8,minecraft:glass_pane
295,67,-7,minecraft:glass_pane
295,67,-6,minecraft:glass_pane
295,67,-5,minecraft:glass_pane
295,67,-4,minecraft:glass_pane
295,68,-16,minecraft:glass_pane
295,68,-15,minecraft:glass_pane
295,68,-14,minecraft:glass_pane
295,68,-13,minecraft:glass_pane
295,68,-12,minecraft:glass_pane
295,68,-11,minecraft:glass_pane
295,68,-10,minecraft:glass_pane
295,68,-9,minecraft:glass_pane
295,68,-8,minecraft:glass_pane
295,68,-7,minecraft:glass_pane
295,68,-6,minecraft:glass_pane
295,68,-5,minecraft:glass_pane
295,68,-4,minecraft:glass_pane
295,69,-16,minecraft:glass_pane
295,69,-15,minecraft:glass_pane
295,69,-14,minecraft:glass_pane
295,69,-13,minecraft:glass_pane
295,69,-12,minecraft:glass_pane
295,69,-11,minecraft:glass_pane
295,69,-10,minecraft:glass_pane
295,69,-9,minecraft:glass_pane
295,69,-8,minecraft:glass_pane
295,69,-7,minecraft:glass_pane
295,69,-6,minecraft:glass_pane
295,69,-5,minecraft:glass_pane
295,69,-4,minecraft:glass_pane
295,70,-16,minecraft:glass_pane
295,70,-15,minecraft:glass_pane
295,70,-14,minecraft:glass_pane
295,70,-13,minecraft:glass_pane
295,70,-12,minecraft:glass_pane
295,70,-11,minecraft:glass_pane
295,70,-10,minecraft:glass_pane
295,70,-9,minecraft:glass_pane
295,70,-8,minecraft:glass_pane
295,70,-7,minecraft:glass_pane
295,70,-6,minecraft:glass_pane
295,70,-5,minecraft:glass_pane
295,70,-4,minecraft:glass_pane
295,71,-16,minecraft:glass_pane
295,71,-15,minecraft:glass_pane
295,71,-14,minecraft:glass_pane
295,71,-13,minecraft:glass_pane
295,71,-12,minecraft:glass_pane
295,71,-11,minecraft:glass_pane
295,71,-10,minecraft:glass_pane
295,71,-9,minecraft:glass_pane
295,71,-8,minecraft:glass_pane
295,71,-7,minecraft:glass_pane
295,71,-6,minecraft:glass_pane
295,71,-5,minecraft:glass_pane
295,71,-4,minecraft:glass_pane
295,72,-16,minecraft:glass_pane
295,72,-15,minecraft:glass_pane
295,72,-14,minecraft:glass_pane
295,72,-13,minecraft:glass_pane
295,72,-12,minecraft:glass_pane
295,72,-11,minecraft:glass_pane
295,72,-10,minecraft:glass_pane
295,72,-9,minecraft:glass_pane
295,72,-8,minecraft:glass_pane
295,72,-7,minecraft:glass_pane
295,72,-6,minecraft:glass_pane
295,72,-5,minecraft:glass_pane
295,72,-4,minecraft:glass_pane
295,73,-16,minecraft:glass_pane
295,73,-15,minecraft:glass_pane
295,73,-14,minecraft:glass_pane
295,73,-13,minecraft:glass_pane
295,73,-12,minecraft:glass_pane
295,73,-11,minecraft:glass_pane
295,73,-10,minecraft:glass_pane
295,73,-9,minecraft:glass_pane
295,73,-8,minecraft:glass_pane
295,73,-7,minecraft:glass_pane
295,73,-6,minecraft:glass_pane
295,73,-5,minecraft:glass_pane
295,73,-4,minecraft:glass_pane
295,74,-16,minecraft:glass_pane
295,74,-15,minecraft:glass_pane
295,74,-14,minecraft:glass_pane
295,74,-13,minecraft:glass_pane
295,74,-12,minecraft:glass_pane
295,74,-11,minecraft:glass_pane
295,74,-10,minecraft:glass_pane
295,74,-9,minecraft:glass_pane
295,74,-8,minecraft:glass_pane
295,74,-7,minecraft:glass_pane
295,74,-6,minecraft:glass_pane
295,74,-5,minecraft:glass_pane
295,74,-4,minecraft:glass_pane
295,75,-16,minecraft:glass_pane
295,75,-15,minecraft:glass_pane
295,75,-14,minecraft:glass_pane
295,75,-13,minecraft:glass_pane
295,75,-12,minecraft:glass_pane
295,75,-11,minecraft:glass_pane
295,75,-10,minecraft:glass_pane
295,75,-9,minecraft:glass_pane
295,75,-8,minecraft:glass_pane
295,75,-7,minecraft:glass_pane
295,75,-6,minecraft:glass_pane
295,75,-5,minecraft:glass_pane
295,75,-4,minecraft:glass_pane
296,63,-20,minecraft:water
296,63,-19,minecraft:water
296,63,-18,minecraft:water
296,63,-17,minecraft:water
296,63,-16,minecraft:water
296,63,-15,minecraft:water
296,63,-14,minecraft:water
296,63,-13,minecraft:water
296,64,-20,minecraft:glass_pane
296,64,-19,minecraft:glass_pane
296,64,-18,minecraft:glass_pane
296,64,-17,minecraft:glass_pane
296,64,-16,minecraft:glass_pane
296,64,-4,minecraft:glass_pane
296,64,-3,minecraft:glass_pane
296,64,-2,minecraft:glass_pane
296,64,-1,minecraft:glass_pane
296,64,0,minecraft:glass_pane
296,65,-20,minecraft:glass_pane
296,65,-19,minecraft:glass_pane
296,65,-18,minecraft:glass_pane
296,65,-17,minecraft:glass_pane
296,65,-16,minecraft:glass_pane
296,65,-4,minecraft:glass_pane
296,65,-3,minecraft:glass_pane
296,65,-2,minecraft:glass_pane
296,65,-1,minecraft:glass_pane
296,65,0,minecraft:glass_pane
296,66,-20,minecraft:glass_pane
296,66,-19,minecraft:glass_pane
296,66,-18,minecraft:glass_pane
296,66,-17,minecraft:glass_pane
296,66,-16,minecraft:glass_pane
296,66,-4,minecraft:glass_pane
296,66,-3,minecraft:glass_pane
296,66,-2,minecraft:glass_pane
