x,y,z,block
-11,73,-11,minecraft:smooth_stone_slab
-11,73,-10,minecraft:smooth_stone_slab
-11,73,-9,minecraft:smooth_stone_slab
-11,73,-8,minecraft:smooth_stone_slab
-11,73,-7,minecraft:smooth_stone_slab
-11,73,-6,minecraft:smooth_stone_slab
-11,73,-5,minecraft:smooth_stone_slab
-11,73,-4,minecraft:smooth_stone_slab
-11,73,-3,minecraft:smooth_stone_slab
-11,73,-2,minecraft:smooth_stone_slab
-11,73,-1,minecraft:smooth_stone_slab
-11,73,0,minecraft:smooth_stone_slab
-11,73,1,minecraft:smooth_stone_slab
-11,73,2,minecraft:smooth_stone_slab
-11,73,3,minecraft:smooth_stone_slab
-11,73,4,minecraft:smooth_stone_slab
-11,73,5,minecraft:smooth_stone_slab
-11,73,6,minecraft:smooth_stone_slab
-11,73,7,minecraft:smooth_stone_slab
-11,73,8,minecraft:smooth_stone_slab
-11,73,9,minecraft:smooth_stone_slab
-11,73,10,minecraft:smooth_stone_slab
-11,94,-11,minecraft:smooth_stone_slab
-11,94,-10,minecraft:smooth_stone_slab
-11,94,-9,minecraft:smooth_stone_slab
-11,94,-8,minecraft:smooth_stone_slab
-11,94,-7,minecraft:smooth_stone_slab
-11,94,-6,minecraft:smooth_stone_slab
-11,94,-5,minecraft:smooth_stone_slab
-11,94,-4,minecraft:smooth_stone_slab
-11,94,-3,minecraft:smooth_stone_slab
-11,94,-2,minecraft:smooth_stone_slab
-11,94,-1,minecraft:smooth_stone_slab
-11,94,0,minecraft:smooth_stone_slab
-11,94,1,minecraft:smooth_stone_slab
-11,94,2,minecraft:smooth_stone_slab
-11,94,3,minecraft:smooth_stone_slab
-11,94,4,minecraft:smooth_stone_slab
-11,94,5,minecraft:smooth_stone_slab
-11,94,6,minecraft:smooth_stone_slab
-11,94,7,minecraft:smooth_stone_slab
-11,94,8,minecraft:smooth_stone_slab
-11,94,9,minecraft:smooth_stone_slab
-11,94,10,minecraft:smooth_stone_slab
-10,64,-10,minecraft:polished_andesite
-10,64,-9,minecraft:polished_andesite
-10,64,-8,minecraft:polished_andesite
-10,64,-7,minecraft:polished_andesite
-10,64,-6,minecraft:polished_andesite
-10,64,-5,minecraft:polished_andesite
-10,64,-4,minecraft:polished_andesite
-10,64,-3,minecraft:polished_andesite
-10,64,-2,minecraft:polished_andesite
-10,64,-1,minecraft:polished_andesite
-10,64,0,minecraft:polished_andesite
-10,64,1,minecraft:polished_andesite
-10,64,2,minecraft:polished_andesite
-10,64,3,minecraft:polished_andesite
-10,64,4,minecraft:polished_andesite
-10,64,5,minecraft:polished_andesite
-10,64,6,minecraft:polished_andesite
-10,64,7,minecraft:polished_andesite
-10,64,8,minecraft:polished_andesite
-10,64,9,minecraft:polished_andesite
-10,65,-10,minecraft:polished_andesite
-10,65,-9,minecraft:polished_andesite
-10,65,-8,minecraft:polished_andesite
-10,65,-7,minecraft:polished_andesite
-10,65,-6,minecraft:polished_andesite
-10,65,-5,minecraft:polished_andesite
-10,65,-4,minecraft:polished_andesite
-10,65,-3,minecraft:polished_andesite
-10,65,-2,minecraft:polished_andesite
-10,65,-1,minecraft:polished_andesite
-10,65,0,minecraft:polished_andesite
-10,65,1,minecraft:polished_andesite
-10,65,2,minecraft:polished_andesite
-10,65,3,minecraft:polished_andesite
-10,65,4,minecraft:polished_andesite
-10,65,5,minecraft:polished_andesite
-10,65,6,minecraft:polished_andesite
-10,65,7,minecraft:polished_andesite
-10,65,8,minecraft:polished_andesite
-10,65,9,minecraft:polished_andesite
-10,66,-10,minecraft:polished_andesite
-10,66,-9,minecraft:polished_andesite
-10,66,-8,minecraft:polished_andesite
-10,66,-7,minecraft:polished_andesite
-10,66,-6,minecraft:polished_andesite
-10,66,-5,minecraft:polished_andesite
-10,66,-4,minecraft:polished_andesite
-10,66,-3,minecraft:polished_andesite
-10,66,-2,minecraft:polished_andesite
-10,66,-1,minecraft:polished_andesite
-10,66,0,minecraft:polished_andesite
-10,66,1,minecraft:polished_andesite
-10,66,2,minecraft:polished_andesite
-10,66,3,minecraft:polished_andesite
-10,66,4,minecraft:polished_andesite
-10,66,5,minecraft:polished_andesite
-10,66,6,minecraft:polished_andesite
-10,66,7,minecraft:polished_andesite
-10,66,8,minecraft:polished_andesite
-10,66,9,minecraft:polished_andesite
-10,67,-10,minecraft:polished_andesite
-10,67,-9,minecraft:polished_andesite
-10,67,-8,minecraft:polished_andesite
-10,67,-7,minecraft:polished_andesite
-10,67,-6,minecraft:polished_andesite
-10,67,-5,minecraft:polished_andesite
-10,67,-4,minecraft:polished_andesite
-10,67,-3,minecraft:polished_andesite
-10,67,-2,minecraft:polished_andesite
-10,67,-1,minecraft:polished_andesite
-10,67,0,minecraft:polished_andesite
-10,67,1,minecraft:polished_andesite
-10,67,2,minecraft:polished_andesite
-10,67,3,minecraft:polished_andesite
-10,67,4,minecraft:polished_andesite
-10,67,5,minecraft:polished_andesite
-10,67,6,minecraft:polished_andesite
-10,67,7,minecraft:polished_andesite
-10,67,8,minecraft:polished_andesite
-10,67,9,minecraft:polished_andesite
-10,68,-10,minecraft:polished_andesite
-10,68,-9,minecraft:polished_andesite
-10,68,-8,minecraft:polished_andesite
-10,68,-7,minecraft:polished_andesite
-10,68,-6,minecraft:polished_andesite
-10,68,-5,minecraft:polished_andesite
-10,68,-4,minecraft:polished_andesite
-10,68,-3,minecraft:polished_andesite
-10,68,-2,minecraft:polished_andesite
-10,68,-1,minecraft:polished_andesite
-10,68,0,minecraft:polished_andesite
-10,68,1,minecraft:polished_andesite
-10,68,2,minecraft:polished_andesite
-10,68,3,minecraft:polished_andesite
-10,68,4,minecraft:polished_andesite
-10,68,5,minecraft:polished_andesite
-10,68,6,minecraft:polished_andesite
-10,68,7,minecraft:polished_andesite
-10,68,8,minecraft:polished_andesite
-10,68,9,minecraft:polished_andesite
-10,69,-10,minecraft:polished_andesite
-10,69,-9,minecraft:polished_andesite
-10,69,-8,minecraft:polished_andesite
-10,69,-7,minecraft:polished_andesite
-10,69,-6,minecraft:polished_andesite
-10,69,-5,minecraft:polished_andesite
-10,69,-4,minecraft:polished_andesite
-10,69,-3,minecraft:polished_andesite
-10,69,-2,minecraft:polished_andesite
-10,69,-1,minecraft:polished_andesite
-10,69,0,minecraft:polished_andesite
-10,69,1,minecraft:polished_andesite
-10,69,2,minecraft:polished_andesite
-10,69,3,minecraft:polished_andesite
-10,69,4,minecraft:polished_andesite
